Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
OAS,Oasis Petroleum Inc.,30.60,16.7%,1.92,16.5,6.0%,15.95,2.241,-6.45,Energy,Oil & Gas Production,28.2%,27.9%,-6.2%,N/A
OXY,Occidental Petroleum Corporation,73.58,16.6%,0.63,7.0,14.4%,116.68,14.174,-25.06,Energy,Oil & Gas Production,18.8%,13.2%,5.9%,28.3%
OII,"Oceaneering International, Inc.",52.73,21.8%,1.82,16.6,6.0%,29.03,3.585,-6.82,Energy,Oilfield Services/Equipment,14.0%,26.4%,28.4%,18.5%
OZM,Och-Ziff Capital Management Group LLC,9.47,N/A,N/A,N/A,N/A,N/A,N/A,-8.69,Finance,Investment Managers,N/A,N/A,N/A,N/A
ODP,"Office Depot, Inc.",3.31,-0.7%,N/A,N/A,N/A,-10.99,-0.071,-10.28,Consumer Services,Other Specialty Stores,-5.5%,-6.5%,7.9%,1.2%
OMX,Officemax Incorporated,9.94,-1.4%,N/A,N/A,N/A,-37.49,-0.209,-35.39,Consumer Services,Paper,-4.6%,-0.1%,15.6%,-16.5%
OGE,OGE Energy Corporation,56.84,0.2%,N/A,549.1,0.2%,-59.44,0.216,-61.60,Public Utilities,Electric Utilities: Central,0.3%,0.5%,-0.4%,0.4%
OIBR,Oi S.A.,3.76,1.4%,N/A,51.2,2.0%,-4.49,0.200,-6.50,Public Utilities,Telecommunications Equipment,-2.2%,3.1%,1.3%,3.4%
OIS,"Oil States International, Inc.",70.38,25.8%,0.94,9.6,10.4%,74.67,10.506,-30.40,Energy,Metal Fabrications,9.4%,15.5%,39.4%,39.0%
ODC,Oil-Dri Corporation Of America,23.51,3.2%,50.55,38.6,2.6%,0.47,0.807,-7.61,Consumer Durables,Miscellaneous manufacturing industries,3.5%,-0.9%,7.5%,2.5%
OILT,"Oiltanking Partners, L.P.",35.93,1.1%,23.14,147.7,0.7%,1.55,0.250,-0.94,Energy,Natural Gas Distribution,-2.1%,4.2%,N/A,N/A
OLN,Olin Corporation,20.61,5.1%,N/A,27.3,3.7%,-1.60,1.286,-14.46,Basic Industries,Major Chemicals,10.3%,-2.5%,7.3%,5.2%
OMG,"OM Group, Inc.",20.23,15.9%,2.19,12.4,8.1%,9.24,4.660,-37.35,Basic Industries,Metal Fabrications,5.7%,15.5%,21.4%,21.1%
OHI,"Omega Healthcare Investors, Inc.",23.03,N/A,N/A,N/A,N/A,N/A,N/A,-14.63,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
OME,Omega Protein Corporation,6.28,7.6%,0.72,7.7,13.1%,8.67,1.018,-1.52,Consumer Non-Durables,Packaged Foods,22.7%,9.1%,1.3%,-2.8%
OCR,"Omnicare, Inc.",35.85,92.0%,1.96,14.0,7.1%,18.25,4.372,-25.47,Health Care,Medical/Nursing Services,118.0%,61.2%,92.6%,96.1%
OMC,Omnicom Group Inc.,49.42,100.0%,3.13,14.7,6.8%,15.81,7.077,-54.96,Technology,Advertising,90.0%,96.8%,113.7%,99.6%
OMN,OMNOVA Solutions Inc.,7.28,-6.1%,N/A,N/A,N/A,-21.56,-0.786,-13.70,Basic Industries,Specialty Chemicals,-4.3%,-18.5%,4.8%,-6.4%
OLP,"One Liberty Properties, Inc.",19.63,N/A,N/A,N/A,N/A,N/A,N/A,-15.27,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
OKS,"ONEOK Partners, L.P.",57.58,3.2%,N/A,80.6,1.2%,-14.63,1.023,-24.86,Public Utilities,Natural Gas Distribution,9.9%,-2.0%,-0.1%,5.1%
OKE,"ONEOK, Inc.",44.64,3.1%,N/A,54.5,1.8%,-30.88,1.697,-47.85,Public Utilities,Oil & Gas Production,6.1%,0.3%,7.5%,-1.5%
OPK,Opko Health Inc,4.41,-2833.1%,N/A,N/A,N/A,-6.84,-0.684,-0.00,Consumer Durables,Major Pharmaceuticals,-936.5%,-1834.2%,-2723.0%,-5838.8%
OPY,"Oppenheimer Holdings, Inc.",16.15,N/A,N/A,N/A,N/A,N/A,N/A,-215.58,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
ORB,Orbital Sciences Corporation,12.97,23.5%,0.94,9.5,10.5%,13.82,1.766,-3.84,Technology,Radio And Television Broadcasting And Communications Equipment,11.9%,-3.6%,38.3%,47.4%
OWW,"Orbitz Worldwide, Inc.",2.26,24.7%,2.05,11.3,8.9%,1.10,0.918,-8.08,Consumer Services,Transportation Services,23.9%,21.9%,31.3%,21.6%
ORN,Orion Marine Group Inc,7.19,11.5%,0.67,6.9,14.4%,10.65,1.125,-0.60,Basic Industries,Military/Government/Technical,0.3%,4.9%,23.8%,17.0%
ORA,"Ormat Technologies, Inc.",18.10,-1.7%,N/A,N/A,N/A,-35.27,-0.855,-26.73,Public Utilities,Electric Utilities: Central,-1.2%,-4.4%,-1.9%,0.9%
OSK,Oshkosh Truck Corporation,30.10,78.9%,0.66,7.9,12.7%,45.87,7.376,-27.89,Capital Goods,Auto Manufacturing,29.0%,54.7%,125.4%,106.2%
OMI,"Owens & Minor, Inc.",27.22,115.6%,1.12,10.7,9.3%,24.40,3.847,-14.06,Health Care,Medical Specialities,64.8%,185.4%,134.4%,77.7%
OC,Owens Corning Inc,34.59,3.1%,N/A,59.9,1.7%,-20.54,1.105,-31.60,Capital Goods,Industrial Machinery/Components,-0.4%,-19.8%,6.5%,26.3%
OI,"Owens-Illinois, Inc.",19.34,2.4%,N/A,65.6,1.5%,-35.86,0.994,-45.79,Consumer Durables,Containers/Packaging,-1.6%,0.9%,5.5%,4.7%
OXM,"Oxford Industries, Inc.",55.42,22.2%,3.39,21.5,4.6%,16.35,3.395,-17.60,Consumer Non-Durables,Apparel,16.4%,9.2%,32.6%,30.6%
OXF,"Oxford Resource Partners, LP",5.54,6.0%,N/A,16.5,6.1%,-0.41,0.919,-9.60,Energy,Coal Mining,6.0%,N/A,N/A,N/A
PNG,"PAA Natural Gas Storage, L.P.",18.40,-4.4%,N/A,N/A,N/A,-13.54,-0.688,-6.66,Public Utilities,Natural Gas Distribution,-5.1%,-4.6%,-3.7%,N/A
PACD,Pacific Drilling S.A.,9.62,-13.2%,N/A,N/A,N/A,-28.58,-2.105,-7.53,Energy,Oil & Gas Production,-13.2%,-13.3%,N/A,N/A
PCG,Pacific Gas & Electric Co.,40.56,-1.2%,N/A,N/A,N/A,-103.42,-1.383,-89.58,Public Utilities,Power Generation,-1.0%,-1.3%,-1.2%,-1.3%
PKG,Packaging Corporation of America,36.16,1.2%,N/A,112.6,0.9%,-9.11,0.441,-13.52,Consumer Durables,Containers/Packaging,2.5%,-0.7%,1.5%,1.4%
PLL,Pall Corporation,59.49,21.2%,3.25,23.7,4.2%,18.29,3.006,-11.77,Capital Goods,Industrial Machinery/Components,22.9%,24.4%,20.7%,16.9%
PANW,"Palo Alto Networks, Inc.",51.66,558.3%,1.84,19.1,5.2%,28.06,2.595,2.10,Technology,Computer peripheral equipment,441.4%,675.1%,N/A,N/A
P,"Pandora Media, Inc.",8.96,-186.8%,N/A,N/A,N/A,-2.34,-0.244,0.10,Consumer Services,Broadcasting,42.3%,95.0%,-697.7%,N/A
PHX,Panhandle Royalty Company,28.62,11.6%,0.94,9.4,10.6%,30.58,3.408,-3.50,Energy,Oil & Gas Production,4.9%,5.7%,8.7%,27.1%
PAR,PAR Technology Corporation,5.01,6.1%,N/A,52.7,1.9%,-0.94,0.139,-2.33,Miscellaneous,Office Equipment/Supplies/Services,0.3%,29.6%,7.8%,-13.1%
PRGN,Paragon Shipping Inc.,2.20,-0.3%,N/A,N/A,N/A,-31.70,-0.262,-29.09,Transportation,Marine Transportation,-4.7%,-1.1%,1.3%,3.2%
PKE,Park Electrochemical Corporation,24.23,11.4%,1.13,12.8,7.8%,21.52,0.969,11.83,Technology,Electrical Products,10.6%,20.2%,5.4%,9.6%
PKD,Parker Drilling Company,4.19,2.3%,N/A,28.1,3.6%,-1.64,0.322,-4.86,Energy,Oil & Gas Production,2.5%,-0.2%,-2.0%,8.7%
PH,Parker-Hannifin Corporation,80.30,22.6%,2.16,15.8,6.3%,37.24,7.361,-36.37,Capital Goods,Metal Fabrications,29.5%,23.5%,20.1%,17.5%
PKY,"Parkway Properties, Inc.",13.73,N/A,N/A,N/A,N/A,N/A,N/A,-25.73,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
BTU,Peabody Energy Corporation,24.80,5.7%,N/A,20.2,5.0%,-7.32,3.150,-38.82,Energy,Coal Mining,9.3%,4.2%,3.1%,6.3%
PEB,Pebblebrook Hotel Trust,21.28,N/A,N/A,N/A,N/A,N/A,N/A,-7.41,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
PBA,Pembina Pipeline Corp.,28.18,-0.0%,N/A,N/A,N/A,-8.20,-0.006,-8.14,Energy,Oil & Gas Production,0.9%,-1.1%,-0.7%,0.7%
PGH,Pengrowth Energy Corporation,5.11,-1.2%,N/A,N/A,N/A,-5.65,-0.121,-4.44,Energy,Oil & Gas Production,-1.2%,-2.3%,-4.3%,2.8%
PVA,Penn Virginia Corporation,4.37,-8.2%,N/A,N/A,N/A,-56.97,-3.720,-19.77,Energy,Oil & Gas Production,-7.6%,-8.8%,N/A,N/A
PEI,Pennsylvania Real Estate Investment Trust,16.89,N/A,N/A,N/A,N/A,N/A,N/A,-41.09,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
PAG,"Penske Automotive Group, Inc.",29.21,20.5%,N/A,24.8,4.0%,-10.22,2.670,-36.92,Consumer Durables,Automotive Aftermarket,8.7%,16.2%,29.8%,27.3%
PNR,"Pentair, Ltd.",47.92,30.5%,16.33,40.4,2.5%,2.93,1.481,-11.88,Technology,Industrial Machinery/Components,34.6%,32.5%,27.4%,27.4%
PBY,"Pep Boys-Manny, Moe & Jack (The)",10.68,-5.9%,N/A,N/A,N/A,-40.43,-2.022,-20.21,Consumer Services,Other Specialty Stores,-5.1%,-2.0%,-4.1%,-12.5%
PEP,"Pepsico, Inc.",69.87,28.9%,2.00,15.3,6.5%,34.97,6.574,-30.77,Consumer Non-Durables,Beverages (Production/Distribution),24.2%,31.5%,29.4%,30.5%
PKI,"PerkinElmer, Inc.",31.41,37.6%,N/A,32.1,3.1%,-1.33,1.479,-16.11,Capital Goods,Biotechnology: Laboratory Analytical Instruments,59.1%,38.5%,21.4%,31.2%
PDH,PetroLogistics LP,11.79,-9.3%,N/A,N/A,N/A,-6.75,-0.427,-2.49,Basic Industries,Major Chemicals,3.9%,-22.5%,N/A,N/A
PQ,Petroquest Energy Inc,5.29,-1.0%,N/A,N/A,N/A,-6.80,-0.266,-4.14,Energy,Oil & Gas Production,-2.3%,-0.7%,-2.1%,1.1%
PFE,"Pfizer, Inc.",25.09,54.9%,2.08,15.7,6.4%,12.09,2.277,-10.68,Consumer Durables,Major Pharmaceuticals,67.3%,26.9%,64.8%,60.8%
PMC,Pharmerica Corporation,14.19,67.4%,0.73,8.4,11.9%,19.49,3.314,-13.64,Health Care,Medical/Nursing Services,20.6%,83.0%,97.0%,68.9%
PSX,Phillips 66,51.56,17.8%,2.09,14.1,7.1%,24.64,6.596,-41.32,Energy,Integrated oil Companies,17.8%,N/A,N/A,N/A
FENG,Phoenix New Media Limited,3.22,162.2%,0.76,5.7,17.6%,4.24,0.236,1.88,Consumer Services,Broadcasting,179.1%,349.8%,-42.4%,N/A
PNY,"Piedmont Natural Gas Company, Inc.",30.97,1.1%,N/A,108.8,0.9%,-25.32,0.570,-31.02,Public Utilities,Oil/Gas Transmission,1.4%,4.3%,3.9%,-5.1%
PDM,"Piedmont Office Realty Trust, Inc.",17.68,N/A,N/A,N/A,N/A,N/A,N/A,-9.09,Consumer Services,Building operators,N/A,N/A,N/A,N/A
PIR,"Pier 1 Imports, Inc.",19.46,3.6%,12.89,104.3,1.0%,1.51,0.190,-0.39,Consumer Services,Home Furnishings,16.6%,20.6%,-7.0%,-15.9%
PIKE,Pike Electric Corp.,9.95,0.8%,N/A,219.7,0.5%,-6.60,0.079,-7.39,Capital Goods,Engineering & Construction,-0.8%,-3.4%,-6.9%,14.2%
PPC,Pilgrim&#39;s Pride Corporation,7.23,-18.8%,N/A,N/A,N/A,-28.62,-1.985,-8.77,Consumer Non-Durables,Meat/Poultry/Fish,-14.4%,-10.3%,-8.0%,-42.6%
PNK,"Pinnacle Entertainment, Inc.",12.99,-5.1%,N/A,N/A,N/A,-41.24,-1.829,-22.96,Consumer Services,Hotels/Resorts,-3.5%,-6.4%,-4.1%,-6.4%
PNW,Pinnacle West Capital Corporation,51.46,-0.8%,N/A,N/A,N/A,-93.71,-1.061,-83.10,Public Utilities,Electric Utilities: Central,-0.8%,N/A,N/A,-2.8%
PES,Pioneer Energy Services Corp.,7.48,9.2%,0.71,8.5,11.8%,10.52,1.980,-9.28,Energy,Oil & Gas Production,4.1%,-1.3%,2.4%,31.6%
PXD,Pioneer Natural Resources Company,104.83,1.9%,N/A,72.1,1.4%,-21.09,2.026,-41.36,Energy,Oil & Gas Production,5.4%,4.6%,-5.3%,3.1%
PSE,Pioneer Southwest Energy Partners L.P.,24.07,27.5%,0.77,7.9,12.6%,31.12,3.371,-2.60,Energy,Oil & Gas Production,22.7%,21.4%,26.7%,39.4%
PJC,Piper Jaffray Companies,28.20,N/A,N/A,N/A,N/A,N/A,N/A,-45.29,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
PBI,Pitney Bowes Inc,11.64,30.7%,N/A,14.1,7.1%,-2.62,3.497,-37.59,Miscellaneous,Office Equipment/Supplies/Services,30.9%,33.8%,27.8%,30.3%
PAA,"Plains All American Pipeline, L.P.",46.41,4.6%,N/A,55.6,1.8%,-14.74,1.340,-28.14,Energy,Natural Gas Distribution,20.8%,-6.4%,-3.5%,7.5%
PXP,Plains Exploration & Production Company,35.61,-1.7%,N/A,N/A,N/A,-58.30,-1.903,-39.27,Energy,Oil & Gas Production,-0.7%,-1.9%,-4.0%,-0.1%
PLT,"Plantronics, Inc.",33.74,68.8%,0.94,9.3,10.8%,36.01,3.158,4.44,Public Utilities,Telecommunications Equipment,84.7%,97.6%,66.4%,26.6%
PCL,"Plum Creek Timber Company, Inc.",42.52,0.8%,N/A,333.5,0.3%,-15.19,0.178,-16.97,Consumer Services,Real Estate Investment Trusts,-0.2%,1.6%,2.6%,-1.0%
PNM,"PNM Resources, Inc. (Holding Co.)",21.20,-6.1%,N/A,N/A,N/A,-85.44,-4.113,-44.31,Public Utilities,Electric Utilities: Central,-1.9%,-4.9%,-7.6%,-10.1%
PII,Polaris Industries Inc.,81.96,44.0%,2.31,21.2,4.7%,35.51,4.135,-5.83,Capital Goods,Industrial Specialties,59.4%,54.5%,30.8%,31.4%
POL,PolyOne Corporation,20.25,1.8%,N/A,105.7,0.9%,-11.30,0.330,-14.60,Basic Industries,Major Chemicals,-2.1%,-2.8%,7.6%,4.3%
PPO,Polypore International Inc,39.85,12.3%,79.27,30.1,3.3%,0.50,1.961,-19.11,Basic Industries,Major Chemicals,22.8%,17.1%,0.1%,9.4%
POR,Portland General Electric Company,26.87,-2.8%,N/A,N/A,N/A,-77.57,-2.380,-53.76,Public Utilities,Electric Utilities: Central,-1.6%,-2.3%,-1.8%,-5.5%
POST,"Post Holdings, Inc.",34.57,21.0%,N/A,23.2,4.3%,-9.26,3.328,-42.55,Consumer Non-Durables,Packaged Foods,21.0%,N/A,N/A,N/A
PPS,"Post Properties, Inc.",48.82,N/A,N/A,N/A,N/A,N/A,N/A,-20.40,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
POT,Potash Corporation of Saskatchewan Inc.,38.60,31.0%,0.96,9.6,10.4%,40.40,4.984,-9.44,Basic Industries,Agricultural Chemicals,31.0%,29.2%,2.3%,61.7%
POM,Potomac Electric Power Company,19.70,-4.2%,N/A,N/A,N/A,-69.12,-2.359,-45.53,Public Utilities,Power Generation,-3.1%,-4.0%,-4.5%,-5.3%
PPG,"PPG Industries, Inc.",120.94,10.6%,N/A,30.6,3.3%,-2.04,5.961,-61.65,Basic Industries,Paints/Coatings,11.6%,10.8%,9.1%,11.0%
PPL,PPL Corporation,29.07,-1.1%,N/A,N/A,N/A,-54.61,-0.711,-47.51,Public Utilities,Electric Utilities: Central,-5.0%,0.7%,-0.2%,-0.0%
PX,"Praxair, Inc.",105.37,5.0%,298.53,40.1,2.5%,0.35,3.485,-34.49,Basic Industries,Major Chemicals,5.7%,4.5%,4.4%,5.5%
PCP,Precision Castparts Corporation,181.75,58.1%,1.94,18.4,5.4%,93.83,10.410,-10.27,Basic Industries,Metal Fabrications,59.2%,57.3%,57.8%,N/A
PDS,Precision Drilling Corporation,7.46,4.2%,N/A,23.8,4.2%,-1.21,0.629,-7.50,Energy,Oil & Gas Production,5.4%,-2.0%,2.8%,10.6%
PBH,"Prestige Brand Holdings, Inc.",20.54,2395.0%,N/A,20.5,4.9%,-3.59,2.288,-26.47,Consumer Durables,Major Pharmaceuticals,2156.8%,2745.9%,2551.5%,2125.7%
PVG,"Pretium Resources, Inc.",13.40,N/A,N/A,N/A,N/A,N/A,N/A,0.09,Basic Industries,Precious Metals,N/A,N/A,N/A,N/A
PPP,Primero Mining Corp,6.33,-857.0%,N/A,N/A,N/A,-473.84,-47.341,-0.43,Basic Industries,Precious Metals,19.2%,-3158.5%,-62.2%,-226.7%
PTGI,Primus Telecommunications Group Inc.,11.14,3.4%,N/A,61.1,1.6%,-22.31,0.654,-28.85,Public Utilities,Telecommunications Equipment,10.6%,5.8%,2.8%,-5.6%
PG,Procter & Gamble Company (The),69.58,37.3%,2.20,16.9,5.9%,31.65,5.492,-23.26,Basic Industries,Package Goods/Cosmetics,30.4%,34.9%,45.0%,39.0%
BIN,Progressive Waste Solutions Ltd.,20.86,7.8%,8.98,19.7,5.1%,2.32,1.910,-16.78,Public Utilities,Environmental Services,7.2%,10.2%,8.8%,5.0%
PRO,"PROS Holdings, Inc.",17.36,77.0%,3.96,45.8,2.2%,4.39,0.362,0.77,Technology,EDP Services,116.7%,-71.7%,109.4%,153.4%
PRLB,"Proto Labs, Inc.",36.00,78.4%,2.35,25.1,4.0%,15.34,1.370,1.64,Capital Goods,Metal Fabrications,92.6%,64.3%,N/A,N/A
PSB,"PS Business Parks, Inc.",65.28,N/A,N/A,N/A,N/A,N/A,N/A,-56.48,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
PGI,"PTEK Holdings, Inc.",8.44,27.0%,1.33,11.7,8.5%,6.36,1.189,-5.52,Miscellaneous,Business Services,24.4%,14.6%,28.4%,40.8%
PEG,Public Service Enterprise Group Incorporated,29.85,6.2%,N/A,21.5,4.6%,-5.76,3.092,-36.68,Public Utilities,Power Generation,9.5%,4.6%,3.9%,6.9%
PSA,Public Storage,142.52,N/A,N/A,N/A,N/A,N/A,N/A,-20.87,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
PULS,Pulse Electronics Corporation,0.33,6.7%,N/A,31.9,3.1%,-3.03,0.153,-4.56,Capital Goods,Industrial Machinery/Components,6.9%,16.0%,-6.0%,9.8%
PHM,"PulteGroup, Inc.",16.95,88.0%,N/A,44.5,2.2%,-3.23,0.584,-9.07,Capital Goods,Homebuilding,-37.9%,131.5%,-28.3%,286.5%
PBYI,Puma Biotechnology Inc,20.97,N/A,N/A,N/A,N/A,N/A,N/A,1.83,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A
PVH,PVH Corp.,115.09,52.7%,6.53,23.1,4.3%,17.62,7.430,-56.67,Consumer Non-Durables,Apparel,60.1%,57.6%,46.4%,46.8%
PVR,"PVR  Partners, L.P.",23.75,5.2%,N/A,45.6,2.2%,-0.92,0.694,-7.85,Public Utilities,Natural Gas Distribution,4.7%,5.8%,4.6%,5.9%
PZN,Pzena Investment Management Inc,5.40,N/A,N/A,N/A,N/A,N/A,N/A,1.39,Finance,Investment Managers,N/A,N/A,N/A,N/A
QEP,"QEP Resources, Inc.",28.52,11.3%,0.70,8.1,12.4%,40.77,6.375,-22.98,Energy,Oil & Gas Production,6.8%,5.0%,7.9%,25.7%
QIHU,Qihoo 360 Technology Co. Ltd.,27.44,811.3%,1.43,14.9,6.7%,19.18,1.673,2.44,Technology,EDP Services,1180.4%,442.2%,N/A,N/A
QRE,"QR Energy, LP",17.68,2.1%,N/A,86.7,1.2%,-16.81,0.450,-21.31,Energy,Oil & Gas Production,3.7%,3.1%,-0.7%,N/A
QUAD,"Quad Graphics, Inc",16.85,-1.7%,N/A,N/A,N/A,-88.79,-1.683,-71.96,Miscellaneous,Publishing,-1.4%,-0.1%,-3.6%,N/A
KWR,Quaker Chemical Corporation,49.96,10.1%,N/A,40.9,2.4%,-1.25,1.655,-17.80,Basic Industries,Major Chemicals,6.5%,16.3%,17.1%,0.4%
NX,Quanex Building Products Corporation,21.23,2.7%,11.22,65.8,1.5%,1.89,0.346,-1.57,Capital Goods,Metal Fabrications,3.7%,14.9%,-5.8%,-1.9%
PWR,"Quanta Services, Inc.",25.81,14.3%,5.40,31.8,3.1%,4.78,0.964,-4.86,Capital Goods,Engineering & Construction,11.8%,16.7%,N/A,N/A
QTM,Quantum Corporation,1.15,28.4%,1.72,12.1,8.3%,0.67,0.227,-1.61,Technology,Electronic Components,15.3%,18.8%,46.4%,33.2%
DGX,Quest Diagnostics Incorporated,57.74,52.4%,1.16,11.0,9.1%,49.67,8.385,-34.18,Health Care,Medical Specialities,40.0%,56.0%,54.8%,58.8%
STR,Questar Corporation,19.57,5.0%,265.52,23.7,4.2%,0.07,1.428,-14.21,Public Utilities,Oil & Gas Production,3.0%,-5.5%,8.3%,14.2%
KWK,Quicksilver Resources Inc.,3.15,-1.3%,N/A,N/A,N/A,-20.34,-0.461,-15.73,Energy,Oil & Gas Production,-4.3%,2.4%,-3.4%,0.1%
ZQK,"Quiksilver, Inc.",3.91,24.8%,3.42,13.8,7.3%,1.14,0.736,-6.22,Consumer Non-Durables,Apparel,-1.6%,36.5%,49.4%,14.7%
RAX,"Rackspace Hosting, Inc",67.36,29.9%,2.75,26.2,3.8%,24.50,2.646,-1.95,Technology,"Computer Software: Programming, Data Processing",31.7%,26.8%,28.7%,32.5%
RSH,Radioshack Corporation,1.95,19.6%,0.15,4.8,20.8%,13.06,2.140,-8.34,Consumer Services,Consumer Electronics/Video Chains,13.6%,16.3%,23.7%,24.6%
RAS,RAIT Financial Trust,5.56,N/A,N/A,N/A,N/A,N/A,N/A,-36.98,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
RAH,"Ralcorp Holdings, Inc.",89.12,13.1%,N/A,45.8,2.2%,-32.47,3.394,-66.41,Consumer Non-Durables,Packaged Foods,8.3%,19.6%,11.4%,N/A
RL,Ralph Lauren Corporation,157.46,53.3%,1.38,13.6,7.3%,113.73,11.987,-6.15,Consumer Non-Durables,Apparel,57.4%,43.2%,59.3%,53.3%
RPT,Ramco-Gershenson Properties Trust,13.51,N/A,N/A,N/A,N/A,N/A,N/A,-13.61,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
RRC,Range Resources Corporation,64.03,2.0%,N/A,101.9,1.0%,-12.91,0.837,-21.28,Energy,Oil & Gas Production,-0.0%,-4.0%,-0.5%,12.5%
RJF,"Raymond James Financial, Inc.",37.58,N/A,N/A,N/A,N/A,N/A,N/A,-111.11,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
RYN,Rayonier Inc. REIT,50.02,6.3%,7.83,37.5,2.7%,6.39,1.587,-9.48,Consumer Services,Real Estate Investment Trusts,7.5%,9.5%,3.4%,4.7%
RTN,Raytheon Company,56.41,43.2%,1.52,12.5,8.0%,37.22,7.819,-40.97,Capital Goods,Industrial Machinery/Components,39.6%,34.8%,56.7%,41.8%
RLD,RealD Inc,10.22,26.0%,1.17,11.5,8.7%,8.73,1.027,-1.55,Technology,Radio And Television Broadcasting And Communications Equipment,18.9%,35.9%,23.3%,N/A
O,Realty Income Corporation,40.25,N/A,N/A,N/A,N/A,N/A,N/A,-18.79,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
RHT,"Red Hat, Inc.",49.45,182.4%,2.18,21.1,4.7%,22.71,2.415,-1.44,Technology,"Computer Software: Programming, Data Processing",200.5%,168.7%,172.0%,188.5%
RLH,Red Lion Hotels Corporation,7.29,-6.5%,N/A,N/A,N/A,-19.26,-1.238,-6.88,Consumer Services,Hotels/Resorts,-8.3%,-6.5%,-7.2%,-4.0%
RWT,"Redwood Trust, Inc.",16.79,N/A,N/A,N/A,N/A,N/A,N/A,-56.04,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
RBC,Regal Beloit Corporation,69.46,34.4%,1.75,13.9,7.2%,39.61,7.668,-37.07,Consumer Durables,Metal Fabrications,35.2%,26.9%,46.8%,28.7%
RGC,Regal Entertainment Group,15.28,2.4%,N/A,69.8,1.4%,-12.47,0.464,-17.12,Consumer Services,Movies/Entertainment,2.0%,0.1%,5.7%,1.8%
REG,Regency Centers Corporation,46.98,N/A,N/A,N/A,N/A,N/A,N/A,-26.37,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
RGP,Regency Energy Partners LP,21.97,2.9%,N/A,94.4,1.1%,-8.31,0.359,-11.89,Energy,Oil & Gas Production,4.8%,-0.0%,-2.6%,9.6%
RM,Regional Management Corp.,17.48,N/A,N/A,N/A,N/A,N/A,N/A,-15.30,Finance,Finance: Consumer Services,N/A,N/A,N/A,N/A
RGS,Regis Corporation,16.45,10.5%,1.84,14.0,7.2%,8.94,1.886,-9.92,Consumer Services,Other Consumer Services,4.7%,12.8%,12.9%,11.5%
RS,Reliance Steel & Aluminum Co.,56.33,37.8%,0.97,9.8,10.2%,58.06,8.942,-31.36,Basic Industries,Metal Fabrications,14.4%,9.6%,58.6%,68.8%
SOL,Renesola Ltd.,1.35,-8.4%,N/A,N/A,N/A,-22.21,-1.167,-10.54,Technology,Semiconductors,-12.9%,51.6%,-36.2%,-36.3%
RENN,Renren Inc.,3.21,24.7%,1.15,24.7,4.0%,2.79,0.028,2.51,Technology,EDP Services,-20.6%,70.1%,N/A,N/A
RNF,"Rentech Nitrogen Partners, L.P.",39.55,N/A,N/A,N/A,N/A,N/A,N/A,0.35,Basic Industries,Agricultural Chemicals,N/A,N/A,N/A,N/A
RSG,"Republic Services, Inc.",28.41,8.1%,N/A,25.1,4.0%,-8.14,2.422,-32.36,Public Utilities,Environmental Services,10.4%,8.8%,9.6%,3.7%
RMD,ResMed Inc.,40.68,43.5%,1.61,16.6,6.0%,25.33,2.338,1.95,Health Care,Medical/Dental Instruments,50.3%,47.6%,34.2%,42.0%
REN,Resolute Energy Corporation,8.50,2.9%,N/A,34.7,2.9%,-2.46,0.444,-6.90,Energy,Oil & Gas Production,6.3%,-0.5%,N/A,N/A
RFP,Resolute Forest Products Inc.,11.86,N/A,N/A,N/A,N/A,N/A,N/A,-24.42,Basic Industries,Paper,N/A,-27.2%,-10.8%,-15.3%
RH,Restoration Hardware Holdings Inc.,36.74,-9.1%,N/A,N/A,N/A,-10.65,-0.456,-6.09,Consumer Services,Other Specialty Stores,2.0%,-20.1%,N/A,N/A
RPAI,"Retail Properties of America, Inc.",11.98,N/A,N/A,N/A,N/A,N/A,N/A,-13.14,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
